Id,ProductName,Price,Quantity,ExpirationDate,IsAvailable
1,Bread,50.99,15,2024-01-10,true
2,Milk,60.50,20,2024-01-05,true
3,Cheese,250.00,10,2024-02-15,true
4,Apples,90.00,30,2024-01-25,true
5,Butter,75.99,0,2023-11-30,false
6,Oranges,85.75,25,2024-02-10,true
7,Eggs,45.00,12,2024-01-01,true
8,Salmon,343.50,5,2023-12-20,false
9,Chicken,200.00,8,2024-01-12,true
10,Chocolate,120.99,18,2024-03-05,true
11,Flour,40.99,50,2024-04-01,true
12,Sugar,65.99,35,2024-05-15,true
13,Potatoes,30.00,60,2024-01-30,true
14,Tomatoes,95.00,22,2024-02-20,true
15,Onions,25.99,40,2024-03-10,true
16,Rice,70.50,20,2024-05-01,true
17,Pasta,89.99,25,2024-04-10,true
18,Coffee,499.00,10,2024-06-01,true
19,Tea,299.99,15,2024-05-20,true
20,Carrots,40.00,50,2024-02-15,true
